Age,Birthplace,Degree,GADT_Cat,GAD_T,Game,Gender,Hours,League_clean,Narcissism,Narcissism_Cat,Platform,Playstyle_clean,Residence,SPINT_Cat,SPIN_T,SWLT_Cat,SWL_T,Work,earnings_clean,whyplay_clean
20,Denmark,High school diploma (or equivalent),mild anxiety,6,League of Legends,Female,10.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,Denmark,Moderate,34.0,Slightly dissatisfied,17,Student at college / university,Fun,fun
19,Croatia,High school diploma (or equivalent),minimal anxiety,2,League of Legends,Male,70.0,unranked,1.0,Not Very True of me,PC,singleplayer,Serbia,None,4.0,dissatisfied,13,Student at college / university,Earning while playing,improving
18,Sweden,High school diploma (or equivalent),moderate anxiety,11,League of Legends,Male,40.0,gold,3.0,Moderately True of me,PC,Multiplayer - online - with online acquaintances or teammates,Sweden,Mild,26.0,dissatisfied,12,Student at school,Fun,all
21,Morocco,Bachelor (or equivalent),moderate anxiety,12,League of Legends,Male,8.0,silver,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,Morocco,Moderate,32.0,dissatisfied,11,Student at college / university,Fun,improving
23,USA,Master (or equivalent),minimal anxiety,0,League of Legends,Male,8.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,None,5.0,dissatisfied,12,Employed,Fun,improving
19,USA,High school diploma (or equivalent),minimal anxiety,1,League of Legends,Male,30.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,Mild,21.0,Slightly dissatisfied,15,Unemployed / between jobs,Earning while playing,fun
21,USA,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Male,40.0,silver,3.0,Moderately True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,None,19.0,Extremely dissatisfied,9,Unemployed / between jobs,Fun,fun
18,France,None,mild anxiety,8,League of Legends,Male,21.0,platinum,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,France,Very Severe,51.0,Slightly dissatisfied,17,Student at school,Earning while playing,fun
18,USA,None,mild anxiety,8,League of Legends,Male,50.0,silver,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,USA,Mild,21.0,Slightly satisfied,25,Student at school,Fun,improving
18,Germany,High school diploma (or equivalent),minimal anxiety,4,League of Legends,Male,20.0,platinum,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Germany,None,12.0,Slightly satisfied,22,Student at school,Fun,improving
